G,755767822,0.02368164,-0.24325562,0.20223999,3
M,761260986,18.893433,-23.90747,-49.394226,0
A,765411377,0.6276245,6.4331665,7.727646,3
G,765747070,0.11653137,-0.12841797,0.16802979,3
A,775543213,0.5491791,6.4135437,7.1392365,3
G,775878906,0.1409607,-0.022125244,0.11672974,3
M,778045654,18.029785,-23.388672,-50.55847,0
A,785552979,0.49032593,6.295868,7.1392365,3
G,785858154,0.068878174,-0.0050201416,0.05809021,3
M,795501709,17.85736,-22.525024,-50.39215,0
A,796112061,0.39227295,6.2174225,7.2961426,3
G,796447754,-0.06303406,-0.066101074,0.023880005,3
A,805694580,0.39227295,6.0997314,7.4530487,3
G,805999756,-0.18765259,-0.16262817,0.010437012,3
M,811645508,18.548584,-21.833801,-49.394226,0
A,815856934,0.39227295,6.021286,7.864929,3
G,816223145,-0.23162842,-0.24813843,0.01411438,3
A,825836182,0.31381226,6.021286,8.31604,3
G,826171875,-0.24142456,-0.24813843,0.01411438,3
M,828430176,19.239807,-22.869873,-49.061584,0
A,835998535,0.37265015,6.001663,8.727921,3
G,836364746,-0.24142456,-0.26402283,0.025100708,3
M,845977783,17.338562,-22.351074,-50.891113,0
A,846435547,0.3530426,6.0605164,9.041733,3
G,846771240,-0.24386597,-0.22737122,0.04953003,3
A,856353760,0.3530426,6.0408936,9.159409,3
G,856689453,-0.2218628,-0.16751099,0.056854248,3
M,861968994,17.510986,-22.525024,-49.726868,0
A,866149902,0.3530426,6.0408936,9.159409,3
G,866455078,-0.17666626,-0.0929718,0.048309326,3
A,876251221,0.49032593,6.0408936,9.316315,3
G,876586914,-0.10336304,-0.041671753,0.028762817,3
M,878753662,16.647339,-21.659851,-49.227905,0
A,886260986,0.5295563,6.178192,8.904434,3
G,886566162,-0.022750854,-0.029449463,0.015319824,3
M,896209717,18.721008,-22.006226,-49.89319,0
A,896759033,0.5687866,6.2174225,8.061066,3
G,897094727,0.065216064,-0.10153198,-0.009094238,3
A,906402588,0.5687866,6.2174225,8.061066,3
G,906707764,0.12019348,-0.16627502,-0.053085327,3
M,912322998,16.12854,-22.17865,-50.05951,0
A,916534424,0.2745819,5.9428253,7.8453217,3
G,916870117,0.10430908,-0.2395935,-0.04940796,3
A,926544189,-0.07846069,5.6682434,8.061066,3
G,926849365,0.049331665,-0.1589508,0.036087036,3
M,929077148,16.473389,-21.142578,-49.394226,0
A,936737061,-0.09806824,5.6682434,8.394485,3
G,937103272,-0.04840088,0.013305664,0.19491577,3
M,946716309,17.85736,-22.525024,-50.39215,0
A,947174072,0.5687866,6.1193542,9.532059,3
G,947509766,-0.14245605,0.09881592,0.24868774,3
A,956756592,0.5687866,6.1193542,9.532059,3
G,957092285,-0.14855957,0.16111755,0.17782593,3
M,962829590,16.647339,-20.968628,-50.22583,0
A,966827393,0.7453003,6.2762604,9.394775,3
G,967132568,-0.027633667,0.23196411,0.071517944,3
A,976898193,0.84336853,6.4135437,8.629852,3
G,977233887,0.11531067,0.23196411,0.071517944,3
M,979431152,17.338562,-23.043823,-48.228455,0
A,986968994,0.86299133,6.60968,7.649185,3
G,987274170,0.11531067,0.2955017,-0.02619934,3
M,996856689,16.12854,-21.487427,-48.727417,0
A,997344971,0.94143677,6.511612,7.119629,3
G,997650147,0.14463806,0.2087555,-0.127594,3
A,1007110596,0.78453064,6.4723816,7.1588593,3
G,1007415772,0.05055237,0.053619385,-0.21556091,3
M,1013031006,18.20221,-22.17865,-49.394226,0
A,1017211914,0.8825989,6.4723816,7.4138336,3
G,1017517090,-0.058151245,-0.140625,-0.2742157,3
A,1028076172,0.6276245,6.080124,8.610245,3
G,1028381348,-0.09359741,-0.36054993,-0.33285522,3
M,1029785156,16.819763,-22.869873,-50.05951,0
A,1037445068,0.6276245,6.080124,8.610245,3
G,1037811279,-0.058151245,-0.5401306,-0.41348267,3
A,1047393799,0.019607544,5.5505676,8.963272,3
G,1047729492,0.061553955,-0.6818695,-0.44036865,3
M,1048309326,16.992188,-22.351074,-49.560547,0
A,1057434082,-0.2745819,5.1582947,8.64946,3
G,1057769775,0.24481201,-0.75027466,-0.32795715,3
M,1063446045,17.164612,-21.487427,-49.726868,0
A,1067535400,0.039230347,5.2759705,8.257202,3
G,1067840576,0.4512787,-0.94818115,-0.1446991,3
A,1077636719,0.9806671,5.648636,7.786484,3
G,1077972412,0.594223,-1.1216888,-0.067733765,3
M,1080139160,15.609741,-25.463867,-50.891113,0
A,1087677002,1.7848053,5.9428253,7.1392365,3
G,1087982178,0.6663208,-1.0483704,-0.14837646,3
M,1097564697,14.227295,-24.079895,-50.22583,0
A,1098052979,1.863266,5.962448,6.4920044,3
G,1098388672,0.6235504,-0.9494171,-0.31330872,3
A,1107788086,0.823761,5.3936615,5.90361,3
G,1108093262,0.47084045,-0.8919983,-0.34996033,3
M,1114013672,13.362122,-24.945068,-50.39215,0
A,1117919922,1.7651978,4.707199,6.0605164,3
G,1118225098,0.25335693,-0.76371765,-0.36460876,3
A,1127929688,2.2163086,4.805252,6.1585693,3
G,1128234863,0.09820557,-0.76371765,-0.36460876,3
M,1130950928,11.979675,-23.90747,-51.722717,0
A,1138092041,3.5303955,4.707199,6.138962,3
G,1138397217,0.09820557,-0.54623413,-0.67614746,3
M,1148162842,12.843323,-25.117493,-50.891113,0
A,1148681641,4.2953186,4.3345337,6.393936,3
G,1148986816,0.09086609,-0.46072388,-1.0011444,3
A,1158142090,4.2953186,3.765747,7.1588593,3
G,1158477783,0.1275177,-0.708725,-1.228363,3
M,1164123535,13.017273,-25.289917,-50.05951,0
A,1168243408,3.0989075,2.902771,7.7472534,3
G,1168548584,0.20449829,-1.0654755,-1.2051544,3
A,1178314209,1.8828735,2.0986176,7.9629974,3
G,1178649902,0.32177734,-1.3855591,-0.8887329,3
M,1180847168,13.017273,-26.327515,-51.057434,0
A,1188385010,1.6082916,1.5494537,8.31604,3
G,1188720703,0.5013733,-1.2071991,-0.41104126,3
M,1198333740,12.843323,-26.499939,-49.560547,0
A,1198852539,1.6278992,1.3337097,8.64946,3
G,1199157715,0.73106384,-0.35810852,-0.009094238,3
A,1208496094,2.1182404,1.255249,8.27681,3
G,1208801270,1.0254974,0.71455383,0.2596588,3
M,1214477539,12.32605,-26.672363,-50.05951,0
A,1218597412,1.8436432,1.8436432,7.8060913,3
G,1218902588,1.4091034,1.5709991,0.35984802,3
A,1228637695,1.5494537,2.2751465,7.923767,3
G,1228942871,1.8013,1.304657,0.4331665,3
